name	source_qualified_id	parity	union_uid	reason	witness
Cheirolophus intybaceus	tax2:404582	=>	404582	same-parent/direct	Centaureinae
Sonchus pustulatus	ncbi:381736	=>	572920	new/tip	
Sonchus pustulatus	gbif:3105824	=>	572920	same-parent/direct	Asteraceae
Sonchus pustulatus	gbif:3105824	not=>	?	mapped/incompatible	
Sonchus pustulatus	tax2:572920	=>	572920	same-parent/direct	Hyoseridinae
Filago lojaconoi	gbif:3115860	=>	3899045	new/tip	
Filago lojaconoi	tax2:3899045	=>	3899045	same-qualified-id	
Chondrilla juncea	ncbi:75963	=>	924905	new/tip	
Chondrilla juncea	gbif:5403805	=>	924905	same-parent/direct	Asteraceae
Chondrilla juncea	gbif:5403805	not=>	?	mapped/incompatible	
Chondrilla juncea	tax2:924905	=>	924905	same-parent/direct	Chondrillinae
Achillea ptarmica	ncbi:133233	=>	195131	new/tip	
Achillea ptarmica	gbif:3120333	=>	195131	same-parent/direct	Asteraceae
Achillea ptarmica	gbif:3120333	not=>	?	mapped/incompatible	
Achillea ptarmica	tax2:195131	=>	195131	same-parent/direct	Matricariinae
Senecio lagascanus	ncbi:1268580	=>	640718	new/tip	
Senecio lagascanus	gbif:3108080	=>	640718	same-rank	species
Senecio lagascanus	tax2:640718	=>	640718	same-parent/direct	Senecioninae
Saussurea nuda	ncbi:669822	=>	642379	new/tip	
Saussurea nuda	gbif:5404462	=>	642379	same-parent/direct	Asteraceae
Saussurea nuda	gbif:5404462	not=>	?	mapped/incompatible	
Saussurea nuda	tax2:642379	=>	642379	same-parent/direct	Carduinae
Cyanus novakii	gbif:5386001	=>	4727064	new/tip	
Cyanus novakii	tax2:4727064	=>	4727064	same-qualified-id	
Staehelina lobelii	ncbi:313547	=>	4727665	new/tip	
Staehelina lobelii	tax2:4727665	=>	4727665	same-qualified-id	
Cyanus angelescui	gbif:5386019	=>	4727068	new/tip	
Cyanus angelescui	tax2:4727068	=>	4727068	same-qualified-id	
Bellis annua	ncbi:191225	=>	595857	new/internal	
Bellis annua	gbif:3117441	=>	595857	same-parent/direct	Asteraceae
Bellis annua	gbif:3117441	not=>	?	mapped/incompatible	
Bellis annua	tax2:595857	=>	595857	same-parent/direct	Astereae
Staehelina fruticosa	ncbi:313546	=>	4727664	new/tip	
Staehelina fruticosa	tax2:4727664	=>	4727664	same-qualified-id	
Erigeron divergens	ncbi:91259	=>	4728052	new/tip	
Erigeron divergens	tax2:4728052	=>	4728052	same-qualified-id	
Gnaphalium norvegicum	ncbi:595332	=>	845844	new/tip	
Gnaphalium norvegicum	tax2:845844	=>	845844	same-qualified-id	
Kleinia mandraliscae	gbif:5405668	=>	3899427	new/tip	
Kleinia mandraliscae	tax2:3899427	=>	3899427	same-qualified-id	
Filago griffithii	ncbi:702687	=>	183714	new/tip	
Filago griffithii	tax2:183714	=>	183714	same-qualified-id	
Scorzoneroides crocea	ncbi:379622	=>	1042226	new/tip	
Scorzoneroides crocea	gbif:3133469	=>	1042226	same-parent/direct	Asteraceae
Scorzoneroides crocea	gbif:3133469	not=>	?	mapped/incompatible	
Scorzoneroides crocea	tax2:1042226	=>	1042226	same-parent/direct	Hypochaeridinae
